title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills,expiry
Part-Time - Automotive Parts Business Development Specialist,"l  職責：開拓國際客戶資源，建立並維護良好的業務關係；深入瞭解國際貿易相關法律法規和操作流程，確保業務合規性；為客戶提供專業的產品資訊和解決方案；及時解決客戶的疑慮，並把客戶述求及時上報；每週提交客戶報告，包括新增客戶、客戶進展情況以及成交客戶的款項到賬情況，報告方式公司郵箱及企業微信。  l  要求：熟悉國際貿易相關法律法規，熟悉相關貿易法規和操作流程，有一定外貿經驗優先；熟知歐美國家、中東國家、非洲國家及南美國家的汽車行業政策以及政府扶持力度；熟悉汽車零部件市場及汽車行業,對乘用車以及商用車領域有一定的瞭解；能夠解決終端主機廠客戶提出的臨時性問題，打消使用者顧慮並把客戶訴求上報；能夠獨立完成並編寫用戶端訴求完整性報告；輔助完成用戶端ots認可；具備良好的英語口語及書面表達能力；熟悉企業微信溝通方式，能夠靈活運用其進行內部交流溝通；具備較強的市場洞察力和談判技巧，能夠開拓並維護客戶資源；海外華人華僑優先考慮。 l  福利待遇：無底薪，傭金點數根據銷售額利潤點數進行分配；兼職半年以上有機會轉為公司正式員工，享受更多福利待遇。Responsibilities:Develop international client resources and establish and maintain good business relationships.Have a deep understanding of international trade-related laws, regulations, and operational procedures to ensure compliance in business operations.Provide professional product information and solutions to customers.Promptly address customer concerns and report customer demands promptly.Submit weekly customer reports, including new customers, customer progress, and payment receipts from closed deals, via company email and WeChat Work.Requirements:Familiarity with international trade-related laws, regulations, and operational procedures, with relevant foreign trade experience preferred.In-depth knowledge of automotive industry policies and government support in European, American, Middle Eastern, African, and South American countries.Understanding of the automotive components market and the automotive industry, with a certain level of comprehension in both passenger and commercial vehicle sectors.Ability to resolve temporary issues raised by OEM customers, alleviate user concerns, and report customer demands.Capable of independently completing and compiling comprehensive reports on user demands.Assist in completing customer-side OTS (Off-Tooling Sample) approvals.Excellent English communication skills, both oral and written.Familiarity with WeChat Work and the ability to flexibly utilize it for internal communication.Strong market insight and negotiation skills to develop and maintain customer resources.Overseas Chinese or overseas Chinese descendants are preferred.Benefits:Commission-based pay structure, with commission points allocated based on sales profit margins.Opportunity to become a full-time employee after working as a part-time employee for over six months, with access to additional benefits.",Shanghai · China,"Honzyu Technology Trading (Shanghai) Co., Ltd.",,['Business and Management'],['Part time'],,,Entry,,0-1 Years,https://www.bayt.com/en/china/jobs/part-time-automotive-parts-business-development-specialist-5193850/,Yesterday,,,
Real estate agent,We are hiringReal estate agentsMale / Female experience 1 year at least in real estate field,Doha · Qatar,Bonyan,,"['Law, Legal Services, and Public Administration']",['Full time'],,,Entry,,0-1 Years,https://www.bayt.com/en/qatar/jobs/real-estate-agent-5193695/,Yesterday,,,
HR Team Leader,"Company DescriptionDear applicants, 

We Leaders is an educational program that offers training workshops in Leadership, Event Management, Soft Skills, Career Development (professional CV writing, job interview preparation, career guidance…), Management, Marketing, Hospitality...  registered under HARIK HOLDING. 

Our added value is the variety of our topics that will give the participants the opportunity to enhance their skills. The training by our professional trainers will be tailored to their needs to provide them with the required tools to succeed in the market.
 Job DescriptionThe Job description of an HR Team Leader: fill vacancies, recruit staff, conduct job interviews, data entry and send agreements. Kindly note this is a voluntary work/ job and a great opportunity to make a positive impact on the future of our society.",Beirut · Lebanon,Jobs for Humanity,,"['Human Resources, Recruitment, and Organizational Development']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/lebanon/jobs/hr-team-leader-71754548/,13 hours ago,,,
PPC Manager,"Job Summary:As the PPC Manager at Creative Chaos, you will be responsible for developing, managing, and optimizing our Pay-Per-Click advertising strategy across various platforms. Your role will involve ensuring maximum ROI on our PPC campaigns and driving targeted traffic to our digital assets.Job Responsibilities: Develop, implement, and optimize PPC campaigns across Google Ads, Bing Ads, and other relevant platforms Conduct thorough keyword research to identify relevant search terms for services we offer Create and manage ad copy, landing pages, and overall campaign structure to maximize lead generation Monitor, analyze, and report on campaign performance, making real-time adjustments to improve ROI Use A/B testing, heatmaps, and analytics to optimize conversion rates and reduce cost-per-click (CPC) Manage bid strategies and budgets to ensure campaigns remain within target KPIs Stay up-to-date with the latest trends and algorithm changes in PPC and SEM Collaborate with the content, design and development teams to align ad strategies with overall business goals Provide insights and recommendations on new platforms or strategies to expand reach Regularly communicate with stakeholders regarding campaign performance and improvement plans",Pakistan,Creative Chaos,,"['Advertising, Media Journalism and Public Relations']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/pakistan/jobs/ppc-manager-71754239/,13 hours ago,,,
Senior QA/QC Automation Engineer,"PetroApp, a leading innovator in the automotive technology sector, is seeking a Senior QA/QC Automation Engineer to enhance our quality assurance team. In this role, you will be responsible for designing and implementing automated testing frameworks to ensure the quality and reliability of our automotive products. You will collaborate with developers and product managers to create robust automated tests, helping us deliver exceptional software solutions.Responsibilities Develop and execute automated test scripts using Selenium for web applications. Design and implement API tests using REST Assured. Collaborate with developers and product managers to understand requirements and ensure comprehensive test coverage. Identify, record, and track defects in a bug tracking system. Analyze test results and provide detailed reports. Continuously improve testing processes and strategies.",Egypt,PetroApp,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/senior-qa-qc-automation-engineer-71754479/,13 hours ago,,,
Call Agent,"Company DescriptionDear applicants, “We Leaders” is the first program that combines three complementary courses “Leadership skills,” “Event Management,” and “Volunteering.”The goal of volunteering is to encourage the participants to volunteer to gain experience, help the community, grow their connections, and create value. Leadership skills will allow them to lead and motivate a team. Event management will help them create and organize an event.The added value of this program is the combination of the courses that will give the participants the opportunity to enhance their skills. This program will provide them with the required tools to succeed in their future projects and to be active members in their community.Job Description“We Leaders” is seeking dedicated and passionate individuals to join our team as “Call Agents.” The job description is to: -Introduce “We Leaders” to potential partners/ customers. -Make outbound calls to institutions and individuals in a professional and courteous manner.-Perform data entry accurately and efficiently.-Collect emails from various institutions and individuals.-Represent “We Leaders” positively and professionally at all times.-Provide exceptional customer service to those you interact with. Kindly note this is a voluntary work/ job with flexible hours and a great opportunity to make a positive impact on the future of our society. Join us in our mission to empower young leaders and create a better world.QualificationsHigh school diploma or equivalent; a higher degree in a relevant discipline will be appreciated.With effective communication skillsAbility to handle pressureAt least 1 year of experience in the same field",Beirut · Lebanon,Jobs for Humanity,,"['Hospitality, Tourism, and Customer Service']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/lebanon/jobs/call-agent-71754556/,13 hours ago,,,
Program Manager,"Acquia empowers the world’s most ambitious brands to create digital customer experiences that matter. With open source Drupal at its core, the Acquia Digital Experience Platform (DXP) enables marketers, developers, and IT operations teams at thousands of global organizations to rapidly compose and deploy digital products and services that engage customers, enhance conversions, and help businesses stand out.Headquartered in the U.S., Acquia is a Great Place to Work-CertifiedTM company in India, is listed as one of the world’s top software companies by The Software Report, and is positioned as a market leader by the analyst community. We are Acquia. We are building for the future and we want you to be a part of it!A Program Manager is a member of the Professional Services delivery team that builds and maintains applications on the Acquia Platform on behalf of customers and partners. A Program Manager is responsible for understanding and working within the customer’s business environment to deliver projects according to Acquia’s methodology.Key responsibilities:Deliver successful projects within a customer’s business environmentCreate a productive project cultureTransform chaos into claritySeek to identify, analyze and solve problems systematically rather than by instinct or intuition.&nbsp; Develop elegant solutions to complex problemsCreate and respond to change in a way that enables customers to meet or exceed their goalsResponsible for Acquia and customer stakeholder managementCreate positive one-on-one relationships within the teamCommunicate new business opportunities to the Acquia Account Management team and support new business activities within an existing customerWork with PS Operations team to ensure projects are properly resourcedHandle pressure gracefully with no impact to the project, team or customerMake risk-based decisions and hold team and self accountableKey skills and attributes:5 years of experience in program management or similar role within a digital/IT organizationDirect experience in a consulting role. Recognized expertise and able to effectively communicate with others in specific areas of focus.Superior understanding of marketing technology; CDP experience strongly preferredListen and probe to understand, diagnose and understand what matters most to others; value the input and insights of others.Adopt a team approach, acknowledging and appreciating efforts, contributions and compromises; recognize the common purpose of the team and respect team decisions.Empower others in order to scale an effort. Possess a philosophy of coachingListen carefully to provided information and ask clarifying questions. Actively listen as a learner rather than a passive recipient of information.Perceive project and organizational issues quickly through effective questioningExcellent written and verbal communication skillsProject Management, Program Management, and/or SCRUM certificationAbility to travel, as necessaryPlease note the hours for this role will be 4pm-12am IST&nbsp;Individuals seeking employment at Acquia are considered without regard to race, color, religion, caste, creed, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation. Whatever you answer will not be considered in the hiring process or thereafter.",India,Acquia,,['Administrative and Secretarial Services'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/program-manager-71754055/,13 hours ago,,,
Blockchain Engineer (Islamabad -Remote),"Token Metrics is seeking a multi-talented Smart Contract Engineer to facilitate the operations of our Engineering team. As a Smart Contract Engineer, you will closely collaborate with fellow engineers and product managers to build infrastructure to bring Token Metrics privacy and scalability infrastructure to the Ethereum ecosystem. Examples of work include building a cross-chain bridge for moving assets, and implementing a Solidity smart contract to validate blocks for a private and auditable transaction system on Token Metrics.Responsibilities Design, implement, test, and deploy EVM smart contractsWork with external auditors to evaluate security and safety of smart contractsTake engineering projects from concept and design to production, while working with engineering leaders and the product team to create sound and realistic roadmaps.Requirements 3+ years of professional software engineering experience or equivalent blockchain/smart contract development experienceProficiency developing in Solidity; familiarity with precompilesUnderstanding of software engineering and security best practices, in particular smart contract securityExperience interacting with dapps/web3Experience shipping and taking engineering projects to production.",Islamabad · Pakistan,Token Metrics,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/pakistan/jobs/blockchain-engineer-islamabad-remote-71754344/,13 hours ago,,,
"Associate, ServiceNow Developer","About this roleBusiness Overview:Mission Control team is responsible for monitoring, supporting, and administering production environments for all BlackRock businesses (including subsidiaries and BlackRock Solutions clients). The scope of responsibilitycovers but not limited to building and supporting key modules in ServiceNow leveraged across the firm, along with business-critical batch orchestrators, data transfer services.Role ResponsibilityDesigning, coding, testing, and supporting reliable, robust software applications and services with high-quality standards.Develop and modify ServiceNow catalogs, workflows, forms, lists, business rules, UI components etc.Provide configuration and customization including, but not limited to user interface, workflow administration, reports, data imports, integration, custom scripting and third-party software integrations by applying best practicesResearch new feature enhancements and functionalities from ServiceNowPerforming code reviews and providing timely feedback to other engineers.Collaborating with product owners and stakeholder on the right units of work to be included sprint planning.Communications: Engage in clear and concise communications both verbally and in writing. Ability to represent team in calls with different stakeholders and gather feedback to be relayed back to other developers in the team.Uses various tools such as Splunk, AppDynamics, Prometheus/Grafana to conduct analysis on system performance, root cause diagnostics, and systems’/applications’ design to understand and improve the operating quality of production environmentsSkills/Qualifications:A four-year degree specializing in Computer Science, Technology, Engineering or similar3+ years of ServiceNow implementation hands-on experience on ITSM module is preferred.Experience in Python or Core Java (Spring Framework).Experience with object-oriented design patternsExperience with dev ops tools like Git, Maven, Jenkins, Azure DevOpsExperience with Agile development concepts and related toolsExcellent communication and presentation skillsAbility to work under pressure and take ownership of the deliveriesAbility to work with teams across geographyPossess a positive attitude and ability to work as part of a team in a fast-paced environmentBe curious and flexible, pay keen attention to detail, use critical thinking and drive innovationContinually learn new technologiesOur benefitsTo help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.Our hybrid work modelBlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.About BlackRockAt BlackRock, we are all connected by one mission: to help more and more people experience financial well-being.  Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrockBlackRock is proud to be an Equal Opportunity Employer.  We evaluate qualified applicants without regard to age, disability, family status, gender identity, race, religion, sex, sexual orientation and other protected attributes at law.",India,"BlackRock, Inc",,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/associate-servicenow-developer-71754563/,13 hours ago,,,
"Finance Manager - Turkey, Ankara","About World Business Lenders (www.wbl.com):World Business Lenders (WBL) provides general purpose short-term real estate collateralized commercial loans to a broad customer base comprised of small and medium sized businesses throughout the United States that lack access to traditional funding.This is a Contract/Consultant position. Generally, working hours will be 9:00am-6:00pm Eastern Time, Monday through Friday, although hours worked may be greater based upon operational requirements. The job requires excellent oral and written command of the English language. Resumes must be submitted in English. This is a key leadership position that will enable the successful candidate to join a rapidly growing company, report directly to and work closely with the Financial Controller and CFO, and play a critical senior role in the Finance department.",Türkiye,WBL,,"['Accounting, Finance, and Insurance']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/turkiye/jobs/finance-manager-turkey-ankara-71754397/,13 hours ago,,,
"Data Pipeline Engineering, Associate","About this roleData is at the heart of Aladdin and increasingly the ability to consume, store, analyze and gain insight from data has become a key component of our competitive advantage. The DOE team is responsible for the data ecosystem within BlackRock. Our goal is to build and maintain a leading-edge data platform that provides highly available, consistent data of the highest quality for all users of the platform, notably investors, operations teams, and data scientists. We focus on evolving our platform to deliver exponential scale to the firm, powering the future growth of Aladdin.Data Pipeline Engineers at BlackRock get to experience working at one of the most recognized financial companies in the world while being part of a software development team responsible for next generation technologies and solutions. Our engineers design and build large scale data storage, computation, and distribution systems. They partner with data and analytics experts to deliver high quality analytical and derived data to our consumers.We are looking for data engineers who like to innovate and seek complex problems. We recognize that strength comes from diversity and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual. We are committed to open source and we regularly give our work back to the community. Engineers looking to work in the areas of data acquisition, ETL Workflow orchestration, data modeling, data pipeline engineering, Restful APIs, relational data bases, and data distribution are ideal candidates.ResponsibilitiesData Pipeline Engineers are expected to be involved from inception of projects, understand requirements, design, develop, deploy, and maintain data pipelines (ETL / ELT). Our goal is to drive up user engagement and adoption of the modern data platform while constantly working towards improving platform performance and scalability.Deployment and maintenance require close interaction with various teams. This requires maintaining a positive and collaborative working relationship with teams within DOE as well as with wider Aladdin developer community. Creative and inventive problem-solving skills for reduced turnaround times are highly valued. Preparing user documentation to maintain both development and operations continuity is integral to the role.Brainstorming ideas for data engineering and solutions. Provide ideas for process enhancements that will result in development projectsDeveloping and maintaining existing Client data distribution, tools, and processes, including participation in tactical and strategic development projectsWorking alongside program managers, product teams and business analysts throughout the SDLC cycleProviding L2 or L3 support for technical and/or operational issues.Help the team conduct end-to-end tests to ensure production operations run successfully during monthly cycles.Ability to speak with confidence to individuals, both technical and non-technical, outside the team.Ability to lead process engineering for a data pipeline engineering area.Ability to contribute on design decisions for complex systems.Take responsibility for work beyond assigned tasks. Take emotional ownership of projects.Address issues promptly and transparently.Take on challenges outside of day-to-day responsibilities.Essential SkillsBE/BS/B. Tech in Computer Science or equivalent practical experienceAt least 3+ years’ experience as a software engineerExperience in Python, Unit/Integration/Functional testingExperience in SQL, PL/SQL programming, Stored procedures, UDFsExperience / Familiarity with Database Modeling, Normalization techniquesExperience / Familiarity with object-oriented design patternsExperience with dev ops tools for CI/CD like Git, Maven, Jenkins, Gitlab CI, Azure DevOpsExperience with Agile development concepts and related tools (e.g. ADO, Jira, etc.)Ability to trouble shoot and fix performance issues across the codebase and database queriesExcellent written and verbal communication skillsPassion for learning and implementing new technologiesAbility to operate under fast-paced environmentDesired SkillsExperience in Cloud Native Services (AWS/Azure)ETL background in any language or toolsExperience with Snowflake or other Cloud Data warehousing productsExposure with Workflow management tools such as AirflowData ingestion and transformation tools for ETL tools e.g. DBT, Spark, KafkaOur benefitsTo help you stay energized, engaged and inspired, we offer a wide range of benefits including a strong retirement plan, tuition reimbursement, comprehensive healthcare, support for working parents and Flexible Time Off (FTO) so you can relax, recharge and be there for the people you care about.Our hybrid work modelBlackRock’s hybrid work model is designed to enable a culture of collaboration and apprenticeship that enriches the experience of our employees, while supporting flexibility for all. Employees are currently required to work at least 4 days in the office per week, with the flexibility to work from home 1 day a week. Some business groups may require more time in the office due to their roles and responsibilities. We remain focused on increasing the impactful moments that arise when we work together in person – aligned with our commitment to performance and innovation. As a new joiner, you can count on this hybrid model to accelerate your learning and onboarding experience here at BlackRock.About BlackRockAt BlackRock, we are all connected by one mission: to help more and more people experience financial well-being.  Our clients, and the people they serve, are saving for retirement, paying for their children’s educations, buying homes and starting businesses. Their investments also help to strengthen the global economy: support businesses small and large; finance infrastructure projects that connect and power cities; and facilitate innovations that drive progress.This mission would not be possible without our smartest investment – the one we make in our employees. It’s why we’re dedicated to creating an environment where our colleagues feel welcomed, valued and supported with networks, benefits and development opportunities to help them thrive.For additional information on BlackRock, please visit @blackrock | Twitter: @blackrock | LinkedIn: www.linkedin.com/company/blackrockBlackRock is proud to be an Equal Opportunity Employer.  We evaluate qualified applicants without regard to age, disability, family status, gender identity, race, religion, sex, sexual orientation and other protected attributes at law.",India,"BlackRock, Inc",,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/india/jobs/data-pipeline-engineering-associate-71754560/,13 hours ago,,,
"Finance Manager - Turkey, Istanbul","About World Business Lenders (www.wbl.com):World Business Lenders (WBL) provides general purpose short-term real estate collateralized commercial loans to a broad customer base comprised of small and medium sized businesses throughout the United States that lack access to traditional funding.This is a Contract/Consultant position. Generally, working hours will be 9:00am-6:00pm Eastern Time, Monday through Friday, although hours worked may be greater based upon operational requirements. The job requires excellent oral and written command of the English language. Resumes must be submitted in English. This is a key leadership position that will enable the successful candidate to join a rapidly growing company, report directly to and work closely with the Financial Controller and CFO, and play a critical senior role in the Finance department.",Türkiye,WBL,,"['Accounting, Finance, and Insurance']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/turkiye/jobs/finance-manager-turkey-istanbul-71754382/,13 hours ago,,,
Blockchain Engineer (Karachi -Remote),"Token Metrics is seeking a multi-talented Smart Contract Engineer to facilitate the operations of our Engineering team. As a Smart Contract Engineer, you will closely collaborate with fellow engineers and product managers to build infrastructure to bring Token Metrics privacy and scalability infrastructure to the Ethereum ecosystem. Examples of work include building a cross-chain bridge for moving assets, and implementing a Solidity smart contract to validate blocks for a private and auditable transaction system on Token Metrics.Responsibilities Design, implement, test, and deploy EVM smart contractsWork with external auditors to evaluate security and safety of smart contractsTake engineering projects from concept and design to production, while working with engineering leaders and the product team to create sound and realistic roadmaps.Requirements 3+ years of professional software engineering experience or equivalent blockchain/smart contract development experienceProficiency developing in Solidity; familiarity with precompilesUnderstanding of software engineering and security best practices, in particular smart contract securityExperience interacting with dapps/web3Experience shipping and taking engineering projects to production.",Karachi · Pakistan,Token Metrics,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/pakistan/jobs/blockchain-engineer-karachi-remote-71754358/,13 hours ago,,,
Finance Bookkeeper,"Our client is an innovative company at the forefront of the design and construction industry, delivering cutting-edge projects with a strong focus on quality and detail. They are seeking a Finance Bookkeeper who is sharp, obsessively detail-oriented, and has a deep understanding of accounting systems and project finance.Location:Fully-Remote (Work from Home), 9 AM - 5 PM ESTKey Responsibilities:Financial Operations: Handle day-to-day financial operations, including accounts payable (AP), accounts receivable (AR), reconciliations, payroll, and other related tasks.Accounting Systems Management: Manage accounting system through Acumatica (previous experience/familiarity is highly advantageous).Project Finance: Prepare and analyze Work-In-Progress (WIP) reports, perform cost analysis, and support project finance functions.Pattern Recognition: Identify and analyze patterns and discrepancies within financial data to ensure accuracy and resolve issues.Detail-Oriented Execution: Maintain meticulous financial records and ensure all data is accurate, organized, and up to date.Reporting: Generate and manage regular financial reports, ensuring compliance with company standards and financial accuracy.What Success Looks Like:Flawless Financial Management: Accurate handling of AP, AR, reconciliations, payroll, and other basic finance operations.Project Finance Insight: Well-prepared WIP reports and cost analysis that provide valuable insights to support project finance decisions.Pattern Detection: Ability to spot irregularities and patterns in financial data and take corrective action when necessary.System Expertise: Efficient use of Acumatica or similar accounting systems, with an understanding of project-based financial management.Qualifications:Experience: 2+ years of experience as a bookkeeper or in financial management roles, particularly within project-based industries.Software Proficiency: Familiarity with Acumatica (highly advantageous) or similar platforms (NetSuite, Oracle, or custom-built systems).Finance Operations: Strong knowledge of finance operations, including AP, AR, reconciliations, payroll, and cost analysis.Attention to Detail: Obsessively detail-oriented with a knack for spotting irregularities in financial data.Communication Skills: Fluent in English, with excellent verbal and written communication skills.Opportunity:If you are an organized, detail-oriented finance professional with a strong understanding of accounting systems and project finance, we encourage you to apply.Application Process:To be considered for this role these steps need to be followed:Fill in the application formRecord a video showcasing your skill sets",Morocco,ProjectGrowth,,"['Accounting, Finance, and Insurance']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/morocco/jobs/finance-bookkeeper-71754649/,13 hours ago,,,
Flutter Mobile App Developer,"Who we areRobusta Technology Group (RTG) is a key driver of digital transformation by providing a holistic tech ecosystem. RTG works with its local and international partners to help build digital customer experiences, establish remote engineering hubs and build ventures across multiple industries and domains. In this pursuit, RTG serves as a catalyst for impact and growth through events, spaces and content focused on creating impact and growth across the different interactions.Robusta is a tech agency working with a diverse client base across different sectors & industries on implementing digital transformation programs. Engagements are typically focused on digitization of existing operations & processes and/or activation of digital customer engagement channels. With a team of 100+ tech and market consultants, robusta maintains an impactful footprint across EMEA and engages with its clients through its two key operations hubs in Egypt and Germany.Our Engineering TeamAt robusta, Engineers are craftsmen, we take pride in our skills and our target is delivering the right value to our partners. We deeply believe in the Agile & DevOps movements, and we structure and shape our systems and processes accordingly.Our growing team of 50+ Engineers organized across 7 tribes, take pride in their craft, and we are always seeking to build a robust, scalable, resilient and clean product; we deeply believe one day of good design saves us months of bad implementation.Our Flutter TribeAs the pioneers in Flutter development, we are a tight-knit group dedicated to building stunning applications for both iOS and Android from a single codebase. Our team thrives on collaboration, creativity, and a keen eye for design. Join us in our quest to create exceptional mobile experiences.What you’ll be doingAs a Flutter Mobile App Developer, you will play a key role in designing and developing cross-platform mobile applications for Othaim/Octpus. Your primary responsibility will be to deliver high-performance, beautiful, and user-friendly mobile solutions that meet user needs and business requirements. Design and build applications for both iOS and Android using Flutter. Collaborate with UI/UX designers to create stunning and intuitive interfaces. Write clean, maintainable, and documented code. Manage app lifecycle, updates, and performance optimization. Integrate third-party libraries and APIs into the application. Work with cross-functional teams to understand requirements and deliver features. Conduct testing and debugging to ensure high quality of applications. Publish applications on Google Play Store and Apple App Store. Stay updated with the latest trends and technologies in mobile development. Provide technical support and troubleshooting for existing applications.",Egypt,ROBUSTA,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/egypt/jobs/flutter-mobile-app-developer-71754469/,13 hours ago,,,
Marketing Virtual Assistant,"Our client, a prominent digital marketing agency, excels in maximizing client engagements through tailored influencer outreach strategies. Specializing in creating unique connections between brands and their audiences, they leverage a deep understanding of market trends to deliver exceptional social media results. They are now seeking a dedicated Marketing VA to focus on influencer collaboration, enriching brand presence across multiple platforms through strategic partnerships.Location: Fully-Remote (Work from Home), 9 AM - 5 PM ESTKey Responsibilities:Influencer Collaboration: Actively reach out to and engage with influencers as per the provided list, manage follow-ups diligently, and maintain an updated Excel sheet with all communications.Content Coordination: Coordinate with influencers to ensure timely and accurate content delivery that aligns with client strategies.Multi-Client Management: Handle outreach tasks for multiple clients simultaneously, adapting strategies to suit varying demographics and maintaining a consistent voice across all channels.Organizational Skills: Demonstrated ability to organize tasks efficiently, managing time and resources to meet deadlines and client expectations.What Success Looks Like:Effective Influencer Partnerships: You have built and maintained successful relationships with influencers, leading to increased brand visibility and engagement for clients.Adaptability and Growth: You have demonstrated your ability to adapt quickly to different client needs and industry trends, contributing significantly to the agency’s reputation and success.Qualifications:Organizational Skills: Highly organized with a proven track record of managing multiple projects and deadlines efficiently.Comfort with Google Sheets and Excel: Proficiency in using Google Sheets and Excel for data management and tracking is highly advantageous. Data Entry Background: Previous experience in data entry is a plus.Zapier Knowledge: Familiarity with Zapier is advantageous but not essential. Communication Skills: Excellent English communication skills, both written and verbal, with the ability to engage effectively with influencers and team members.Personality: A vibrant and fun personality that resonates well within a team and in client interactions.Fast Learners and Proactive: We value individuals who are quick learners, proactive, and can think on their feet.This position offers a unique opportunity for a Marketing VA to further their career in a vibrant agency setting, driving engagement and building lasting relationships in the digital space. If you are organized, tech-savvy, and thrive in a dynamic, fast-paced environment, we invite you to apply.Application Process:To be considered for this role these steps need to be followed:Fill in the application formRecord a video showcasing your skill sets",Tunisia,ProjectGrowth,,"['Communications, Marketing, and Sales']",['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/tunisia/jobs/marketing-virtual-assistant-71754645/,13 hours ago,,,
Blockchain Engineer (Istanbul- Remote),"Token Metrics is seeking a multi-talented Smart Contract Engineer to facilitate the operations of our Engineering team. As a Smart Contract Engineer, you will closely collaborate with fellow engineers and product managers to build infrastructure to bring Token Metrics privacy and scalability infrastructure to the Ethereum ecosystem. Examples of work include building a cross-chain bridge for moving assets, and implementing a Solidity smart contract to validate blocks for a private and auditable transaction system on Token Metrics.Responsibilities Design, implement, test, and deploy EVM smart contractsWork with external auditors to evaluate security and safety of smart contractsTake engineering projects from concept and design to production, while working with engineering leaders and the product team to create sound and realistic roadmaps.Requirements 3+ years of professional software engineering experience or equivalent blockchain/smart contract development experienceProficiency developing in Solidity; familiarity with precompilesUnderstanding of software engineering and security best practices, in particular smart contract securityExperience interacting with dapps/web3Experience shipping and taking engineering projects to production.",Istanbul · Türkiye,Token Metrics,,['Engineering and Technology'],['Contract'],,,Entry,,0-1 Years,https://www.bayt.com/en/turkiye/jobs/blockchain-engineer-istanbul-remote-71754345/,13 hours ago,,,
