sector,expiry,title,content,location,company,email,job_sector,job_type,qualifications,field_of_study,career_level,job_apply_type,experience,job_apply_url,posted_time,salary,skills
"Architecture, Design, and Construction",,Heavy Duty Driver for EUROPE from Kuwait,"We are looking for Male experienced Heavy Trailer Driver For Hungary, Europe. The ideal candidate should have: 4+ years of experience in driving he...",Kuwait City,maasglobal,,,Full time,No Education,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/heavy-duty-driver-for-europe-from-kuwait-73170,19 Sep 2024 -,300 - 350 Kuwait Dinar(Monthly),Heavy Driving
Health and Wellness,,Auto Painter,"Prepare vehicles for painting by masking and sanding surfaces
Mix paint colors to match vehicles' specifications
Apply paint using various techniqu...",Dubai,Austrain Automotive,,,Full time,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/auto-painter-73094,18 Sep 2024 -,2500 - 3000 UAE Dirhams(Monthly),Painter
"Logistics, Supply Chain, and Transportation",,Auto Mechanic,"Perform diagnostics and repairs on vehicles of various makes and models.
Conduct scheduled maintenance services (oil changes, filter replacements,...",Dubai,Austrain Automotive,,,Contract,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/auto-mechanic-73093,18 Sep 2024 -,2500 - 3000 UAE Dirhams(Monthly),"Automobile, Mechanical"
Business and Management,,Sales Executive / Manager,"Job Title: Sales Manager – B2B Category


Company Overview:

Who is Sparts? 
Sparts is an auto-tech company that has created an intelligent online...",Kuwait City,Sparts,,,Contract,Diploma,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/sales-executive-manager-73084,17 Sep 2024 -,400 - 2000 Kuwait Dinar(Monthly),"Arabic, B2B Sales, Car Driving, Corporate Sales, English"
Manufacturing and Production,,Automotive Electromechanical Technician,"About Us
An innovative autonomous vehicle manufacturer is growing their team and hiring a Technician/Operator for our Service provider facility in...",Ras Al Khaimah,Evocargo Autonomous Logistic Services,,,Contract,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/automotive-electromechanical-technician-73021,16 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),"Automobile, Electric Vehicle, English, Linux"
"Hospitality, Tourism, and Customer Service",,Freelance Automotive Service Sales & Marketing Executive (Bodyshop Repairs & Estimating) – Commission-Based,"Job Title: Freelance Automotive Service Sales & Marketing Executive (Bodyshop Repairs & Estimating) – Commission-Based

Location: Remote/Flexible...",Dubai,Tahwill management consultancy,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/freelance-automotive-service-sales-marketing-executive-bodyshop-repairs-estimating-commission-based-72961,15 Sep 2024 -,1 -  UAE Dirhams(Monthly),Automotive
Manufacturing and Production,,Automotive Foreman for German cars,"Mussafah based workshop is looking for a Foreman who has experience in handling German cars, UAE with minimum 5 years experience in gulf.

1.Must b...",Abu Dhabi,Bright Moon,,,Full time,Diploma,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/automotive-foreman-for-german-cars-72867,12 Sep 2024 -,2500 - 5000 UAE Dirhams(Monthly),"Automotive, Mechanical Engineering"
"Communications, Marketing, and Sales",,Digital marketing specialist,"Good ads knowledge 
Web development is mandatory
Create and implement inclusive digital marketing strategies by utilising different digital mediums...",Dubai,Number one auto repairing,,,Contract,Certification,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/digital-marketing-specialist-72719,09 Sep 2024 -,3000 - 4500 UAE Dirhams(Monthly),"Google AdWords, Social Media, Website Development"
Health and Wellness,,cars Spray Painter,"automotive painter with good experiance can do smart paint , denting job , and can deal with the luxury cars",Abu Dhabi,ZENFO AUTO SPA CAR CARE,,,Contract,No Education,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/cars-spray-painter-72710,09 Sep 2024 -,2000 - 3500 UAE Dirhams(Monthly),Advisory
"Communications, Marketing, and Sales",,Auto Detailing Sales and Supervisor,"Job description
Company Description

We are a small detailing company specializing in graphene coating, PPF (paint protection film), window tinting...",Dubai,Detailing Dynamics,,,Contract,Intermediate School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/auto-detailing-sales-and-supervisor-72675,08 Sep 2024 -,1800 -  UAE Dirhams(Monthly),Detailing
"Communications, Marketing, and Sales",,Telesale Executive,Hiring Call Centre Agent to attract investors in international stock market. Candidates with telesales experience preferred. Job based on “High Com...,Dubai,FINWISE,,,Contract,No Education,,Student,,Fresh,https://www.gulfjobs.com/job/telesale-executive-73131,19 Sep 2024 -,2000 - 6000 UAE Dirhams(Monthly),Confidence
"Banking, Investment and Insurance",,Telesales representative,"FIRST VENTURE CALL CENTERS SERVICES was built
to provide an improved customer experience and high quality Call Center services. There are many Call...",Dubai,First Venture Call Centre Services,,,Contract,Certification,,Student,,Fresh,https://www.gulfjobs.com/job/telesales-representative-73122,19 Sep 2024 -,2000 - 6999 UAE Dirhams(Monthly),Confidence
International Development and NGO,,Sales Officer,sales,Dubai,Markai commercial brokers,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-officer-73110,18 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),Banking Sales
Business and Management,,Business Sales Manager,"Business Sales Manager

Company: First Idea Consultant LLC

Location: Dubai

Salary: AED 4,000 to AED 6,000 (based on experience)Job Description:Fi...",Dubai,First idea consultant,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/business-sales-manager-73035,16 Sep 2024 -,4000 - 6000 UAE Dirhams(Monthly),"After Sales Service, Banking Sales, Female"
International Development and NGO,,Sales Officer,selling of credit cards through online banking channels,Dubai,Markai commercial Brokers,,,Full time,Bachelors,,Student,,Fresh,https://www.gulfjobs.com/job/sales-officer-72974,15 Sep 2024 -,2000 - 5000 UAE Dirhams(Monthly),"Direct Selling, Selling Skills"
"Banking, Investment and Insurance",,Sales Associate / BDM – Investment Fund,"Position: Sales Associate / BDM
Industry: Investment / Hedge Fund  
Location: Remote / UAE
Compensation: Commission-Only  

Are you a dynamic and r...",Dubai,Private Company,,,Full time,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/sales-associate-bdm-investment-fund-72944,14 Sep 2024 -,35000 - 350000 UAE Dirhams(Monthly),"Business Development, Finance, Investment, Sales"
International Development and NGO,,Sales Executive Officer,We are hiring Sales officers For Banking Sector in a Big DSA,Dubai,HADAF AL KHALEEJ COMMERCIAL SERVICES L L C,,,Full time,Intermediate School,,Student,,Fresh,https://www.gulfjobs.com/job/sales-executive-officer-72926,14 Sep 2024 -,3000 - 6000 UAE Dirhams(Monthly),"B2C Marketing, Banking Sales, Cold Calling"
"Hospitality, Tourism, and Customer Service",,Customer Service Representative,We are seeking a dedicated and enthusiastic Customer Service Representative to join our team. The ideal candidate will have excellent communication...,Sharjah,Al Faisal Trading LLC,,,Full time,,,Student,,Fresh,https://www.gulfjobs.com/job/customer-service-representative-72917,14 Sep 2024 -,2500 - 3600 UAE Dirhams(Monthly),Customer Service
"Communications, Marketing, and Sales",,Sales officers,"Urgent need staff.
Good communication skills 
Minimum degree required 
0 to 1 year experience 
Fixed salary 
Visa
Insurance 
Send me CV on what's a...",Dubai,H2o financing brokers llc,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-officers-72741,10 Sep 2024 -,2000 - 4000 UAE Dirhams(Monthly),Banking Sales
International Development and NGO,,Sales Officer,"Sales of Credit Card through Banking channel.
Minimum 1 year of Sales experience or home country required.
Graduation is must.
All Nationlities can...",Abu Dhabi,Fahad Rafeeq,,,Contract,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-officer-72727,09 Sep 2024 -,3000 - 5000 UAE Dirhams(Monthly),Banking Sales
"Communications, Marketing, and Sales",,Forex tele sales executive,"Job Title: Forex tele sales executive (preferred female)

Location: Dubai

As a Forex Sales Executive, you will play a key role in identifying and...",Dubai,JCA Information Technology LLC,,,Contract,Secondary School,,Entry,,1+ Years,https://www.gulfjobs.com/job/forex-tele-sales-executive-73117,18 Sep 2024 -,2500 - 3500 UAE Dirhams(Monthly),"Customer Calling, Customer Service, Customer Support, Sales target"
Administrative and Secretarial Services,,Office Boy,"Job Description:
Serve Tea and Coffee to Staff and office Visitor
Clean office kitchen on daily basis
Responsible for disposal of trash, waste, and...",Dubai,The Gentle Tech,,,Full time,Secondary School,,Student,,Fresh,https://www.gulfjobs.com/job/office-boy-72608,06 Sep 2024 -,1200 - 1500 UAE Dirhams(Monthly),Tea Boy
"Hospitality, Tourism, and Customer Service",,Customer Service,"Works with clients who have complaints, orders, or require information about products/services purchased from the organization. They also provide s...",Dubai,Rendom Co,,,Contract,,,Student,,Fresh,https://www.gulfjobs.com/job/customer-service-72275,29 Aug 2024 -,2200 - 3500 UAE Dirhams(Monthly),Communication Skills
"Communications, Marketing, and Sales",,Tele Sales executives.,"Company: Gentle Information Services

We are seeking a highly motivated and results-driven Telesales Executive to join our BPO team. The ideal cand...",Dubai,The Gentle Tech,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/tele-sales-executives-72062,24 Aug 2024 -,2200 - 3000 UAE Dirhams(Monthly),"BPO Call Center, BPO Sales, BPO Sector"
"Communications, Marketing, and Sales",,Indoor Sales Telesales Marketing,"A company in Dubai and Sharjah looking for Indoor Sales  Telesales Staff.
-Build and maintain strong client relationships.
-Excellent verbal and wr...",Dubai,Al Musafir,,,Full time,,,Entry,,1+ Years,https://www.gulfjobs.com/job/indoor-sales-telesales-marketing-71873,20 Aug 2024 -,2500 -  UAE Dirhams(Monthly),Telesales
"Hospitality, Tourism, and Customer Service",,Executive customer service,"!!!!!!! Urgently Hiring !!!!!!!!

Hi we are looking for Customer support associates for Dubai Location.

*Only Immediate joiners preferred*

Manage...",Dubai,Payzquick Technologies,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/executive-customer-service-71813,19 Aug 2024 -,1800 - 2200 UAE Dirhams(Monthly),"BPO, Customer Service"
"Hospitality, Tourism, and Customer Service",,Customer Service Representative (Arabic Speaker with Good level of English speaking),"Maintain a positive attitude and calmly respond to customers’ complaints
Resolve customers’ concerns and answer customers’ questions to your best a...",Dubai,Anonymous,,,Full time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/customer-service-representative-arabic-speaker-with-good-level-of-english-speaking-70966,24 Jul 2024 -,3000 - 6000 UAE Dirhams(Monthly),"Administration, Call Center"
"Communications, Marketing, and Sales",,Tele Sales Executive,"Tele Calling Positions Available! 
#Job Summary:
We are on the lookout for enthusiastic and customer-focused TeleCalling Agents to join our dynamic...",Dubai,Trident Infotech,,,Full time,Secondary School,,Student,,Fresh,https://www.gulfjobs.com/job/tele-sales-executive-70796,19 Jul 2024 -,2500 - 3000 UAE Dirhams(Monthly),"BPO Sales, Customer Handling, Customer Relationship, Hindi Language, Tele Calling"
Engineering and Technology,,Business Developer,We are seeking hard working and motivated business developers. The individual in this role will assist company growth and profitability through new...,Dubai,Succeedum,,,Freelance,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/business-developer-69679,03 Jun 2024 -,1500 - 5000 UAE Dirhams(Monthly),Business Development
"Communications, Marketing, and Sales",,Telesale Executive,This is a full-time on-site role for a Telesales Executive located in Dubai. The Telesales Executive will be responsible for communication with cus...,Dubai,AY Group,,,Contract,Secondary School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/telesale-executive-68509,30 Apr 2024 -,3000 - 3000 UAE Dirhams(Monthly),Female Telecaller
"Communications, Marketing, and Sales",,Sales Executive,Responsible for driving plastic material sales and proactively seek growth opportunities by continuous follow-up on inbound leads and sales inquiri...,Sharjah,Fortune Metal Scrap,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/sales-executive-72806,11 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),B2B Sales
Manufacturing and Production,,"Glass fitter , cutter","We are looking for well experienced glass fitter,glass cutter 
Experience 2-3 years
Contact -***
***",Sharjah,Smart corner aluminium and glass cont llc,,,Full time,,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/glass-fitter-cutter-71940,21 Aug 2024 -,1500 - 1700 UAE Dirhams(Monthly),Technical Services
Health and Wellness,,SS welder,"We are looking for well experienced SS welder
Experience 2-3 years
Contact -***
***",Sharjah,Smart corner aluminium and glass cont llc,,,Full time,Secondary School,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/ss-welder-71939,21 Aug 2024 -,1400 - 1600 UAE Dirhams(Monthly),Technician
Health and Wellness,,Aluminium fabricator,"We are looking for well experienced aluminium fabricator 
Experience 2-3 years
Contact -***
***",Sharjah,Smart corner aluminium and glass cont llc,,,Contract,Certification,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/aluminium-fabricator-71938,21 Aug 2024 -,1400 - 1600 UAE Dirhams(Monthly),Technical Skills
"Architecture, Design, and Construction",,Glass fitter,"We are looking for well experienced glass fitter 
Experience 2-3 years
Contact -***
***",Sharjah,Smart corner aluminium and glass cont llc,,,Contract,Certification,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/glass-fitter-71937,21 Aug 2024 -,1500 - 1700 UAE Dirhams(Monthly),Technical Skills
Administrative and Secretarial Services,,Sales Coordinator,"Day to Day Followups
Letter Drafting",Dubai,STAR WORLD GENERAL TRADING LLC,,,Contract,Certification,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/sales-coordinator-71668,15 Aug 2024 -,3500 - 3700 UAE Dirhams(Monthly),Sales Coordination
"Communications, Marketing, and Sales",,Sales & Marketing Officer,A Plastic Pipe and Hoses Production Company IN UAE is looking for a suitable candidate with experience in Plastic field for sales and marketing wit...,Dubai,Bright Choice Trading LLC,,,Contract,Bachelors,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/sales-marketing-officer-71545,12 Aug 2024 -,2500 - 4000 UAE Dirhams(Monthly),"B2B Sales, Domestic Sales"
"Communications, Marketing, and Sales",,Sales Excutive,"Sales man for industrial chemical company in sharjah require urgently.  3-5 years experience in sales with driving licence,  salary + comm.% & comp...",Sharjah,Al Karam Chemical Trading,,,Contract,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/sales-excutive-70739,16 Jul 2024 -,3000 - 3500 UAE Dirhams(Monthly),After Sales Service
Business and Management,,Business Development Manager - Food Ingredients sales - B2B Sales,"About the Job:
Position: Business Development Manager – Middle East & Africa (Food Ingredients)
Location: Home Office

Job Overview:
We are activel...",Riyadh,BDHRS Talent 4.0 Pvt ltd,,,Contract,,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/business-development-manager-food-ingredients-sales-b2b-sales-70467,05 Jul 2024 -,30000 - 40000 Saudi Riyals(Monthly),"B2B Marketing, B2B Sales"
"Communications, Marketing, and Sales",,OUTDOOR SALES EXECUTIVES,OUT DOOR SALES EXECUTIVE REQUIRED TO BE HIRED.,Sharjah,RAMI MUNIR BLDG CLEANING EQUIP.TR.EST,,,Contract,Diploma,,Entry,,1+ Years,https://www.gulfjobs.com/job/outdoor-sales-executives-70177,22 Jun 2024 -,2500 - 3000 UAE Dirhams(Monthly),Chemical Sales
"Logistics, Supply Chain, and Transportation",,Driver,"1.         Safely transport individuals or families to and from designated locations.

2.         Plan and follow the most efficient routes to ensu...",Dubai,Vertex Consulting,,,Contract,No Education,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/driver-73040,17 Sep 2024 -,4000 - 5000 UAE Dirhams(Monthly),Car Driving
"Communications, Marketing, and Sales",,Sales & Marketing Consultant,"Business Sales Manager
Company: First Idea Consultant LLC
Location: Dubai

Salary: AED 4,000 to AED 6,000 (based on experience)Job Description:Firs...",Dubai,First idea consultant,,,Full time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-marketing-consultant-73036,16 Sep 2024 -,4000 - 6000 UAE Dirhams(Monthly),"Banking Sales, Business Banking, Business Consulting"
"Consultancy, Training and Education",,Mystery Shopper - Bahrain,"Freelance Mystery Shoppers

We are looking for people to be part of the Mystery Shopper team to improve customer service by visiting stores and rec...",Manama,GWR consulting,,,Freelance,,,Student,,Fresh,https://www.gulfjobs.com/job/mystery-shopper-bahrain-73019,16 Sep 2024 -,50 - 100 UAE Dirhams(Monthly),Field Survey
Relationship and Stakeholder Management,,Client Management Associate,"Company Registration Management and Client Liaison Lead the process of registering on clients’ portal, including preparing and submitting all neces...",Riyadh,Confidential,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/client-management-associate-72966,15 Sep 2024 -,5000 - 8000 Saudi Riyals(Monthly),"Document Control, English Fluency"
"Communications, Marketing, and Sales",,Sales & Marketing Officer,A financial Consultancy Company is looking for motivated individuals to join our team for sales and marketing-related activities. This part-time ro...,Dubai,RAAR SERVICES & CONSULTANCY,,,Contract,No Education,,Entry,,1+ Years,https://www.gulfjobs.com/job/sales-marketing-officer-72936,14 Sep 2024 -,1500 -  UAE Dirhams(Monthly),Corporate Sales
"Advertising, Media Journalism and Public Relations",,Freelance Mystery Shopper - Bahrain,"Freelance Mystery Shoppers

We are looking for people to be part of the Mystery Shopper team to improve customer service by visiting stores and rec...",Manama,GWR consulting,,,Freelance,,,Student,,Fresh,https://www.gulfjobs.com/job/freelance-mystery-shopper-bahrain-72899,13 Sep 2024 -,50 - 100 UAE Dirhams(Monthly),Detailing
Relationship and Stakeholder Management,,Female French Client Specialist/Consultant,"-To assist the main Consultant in Company Formation and Bank Account opening in Freezone and in Mainland
-With experience in the above
-French and...",Dubai,Angelica,,,Contract,Diploma,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/female-french-client-specialistconsultant-72891,13 Sep 2024 -,1 - 2 UAE Dirhams(Monthly),"Business Consulting, Client communication, French"
"Quality Assurance, Safety, and Compliance",,Transaction Clearing Specialist,We are seeking a highly skilled and experienced Transaction Clearing Specialist who is proficient in using Dubai's Tas-heel and Amer platforms. The...,Deira,teimour haji,,,Contract,Diploma,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/transaction-clearing-specialist-72580,05 Sep 2024 -,2000 - 3000 UAE Dirhams(Monthly),"Banking & Finance, Business Banking, Business Consulting, Client Servicing"
"Architecture, Design, and Construction",,Civil Laboratory Technician,"Looking for a Civil Laboratory Technician able to perform the following:

- Perform lab testing to Soil, Concrete, Aggregate materials, Asphalt and...",Khobar,GBL,,,Contract,Diploma,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/civil-laboratory-technician-72520,04 Sep 2024 -,2500 -  Saudi Riyals(Monthly),"Civil, Lab Technician"
"Communications, Marketing, and Sales",,Sales Marketing Executive,"Company Description
We seek a Sales Marketing Administrative Assistant to join our fast-growing, highly congenial workplace. The ideal candidate is...",Dubai,Hashmi Business Set Up,,,Full time,Certification,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/sales-marketing-executive-72511,04 Sep 2024 -,2500 - 2500 UAE Dirhams(Monthly),"Advertising Sales, Back Office Processing"
Administrative and Secretarial Services,,AC Assistant,BPO technology job and costomer care,Abqaiq,Unique computer educational society,,,Contract,Intermediate School,,Student,,Fresh,https://www.gulfjobs.com/job/ac-assistant-72970,15 Sep 2024 -,10000 - 20000 Dollars(Monthly),Electrical Technician
"Communications, Marketing, and Sales",,Marketing Coordinator,"Key Responsibilities:
1. Combining the offline sales requirements of the KSA, formulating marketing strategies,optimize products display,  execute...",Riyadh,Visage Executive Search,,,Full time,Bachelors,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/marketing-coordinator-72872,13 Sep 2024 -,8500 - 10000 Saudi Riyals(Monthly),Brand Marketing
"Banking, Investment and Insurance",,Computer Data Entry Operator,"Job Description:

We are seeking a highly motivated and detail-oriented Data Entry Operator to join our team. The ideal candidate will be responsib...",Dubai,AD GROUP,,,Full time,Certification,,Entry,,1+ Years,https://www.gulfjobs.com/job/computer-data-entry-operator-72532,04 Sep 2024 -,2000 - 3000 UAE Dirhams(Monthly),"Basic computer knowledge, Basic Computer skills"
"Communications, Marketing, and Sales",,Sales Executive,Sell mobile accessories and other related products.,Dubai,Landing Wellpower Trading LLC,,,Contract,Diploma,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/sales-executive-72206,28 Aug 2024 -,3000 - 4000 UAE Dirhams(Monthly),International Sales
"Communications, Marketing, and Sales",,Sales Supervisor (Dry Batteries – Household Used batteries),"WE ARE HIRING!

Job Title:           Sales Supervisor (Dry Batteries – Household Used batteries)
Department:      Sales Department 
Location:...",Doha,Simex Trading Compang,,,Full time,Diploma,,Mid-Level,,5+ Years,https://www.gulfjobs.com/job/sales-supervisor-dry-batteries-household-used-batteries-71473,10 Aug 2024 -,1 - 2 Qatar Rials(Monthly),"B2B Sales, B2C Marketing, Electronic, FMCG Sales"
Manufacturing and Production,,Fork Lift Operator,"Indian Fork Lift operator required (UAE Fork Lift Operator Driving Licence holder)
Selected candidate visa will provide",Dubai,Sunil Kumar,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/fork-lift-operator-71365,07 Aug 2024 -,2000 -  UAE Dirhams(Monthly),Forklift
"Creative Arts, Event Management and Entertainment",,Technicians for Camera's installations,"""A specialized electronics company in Sharjah is looking for skilled technicians for camera installation(Prefer Nationallity India and Pakistan). F...",Sharjah,A specialized Electronics company,,,Contract,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/technicians-for-cameras-installations-71309,06 Aug 2024 -,1 - 0 UAE Dirhams(Monthly),"Electrical Technician, CCTV, CCTV Installation"
"Consultancy, Training and Education",,Level 3 iPhone Technician,"Want to Hire

LEVEL 3 iPhone Technician
FULL TIME POSITION",Sharjah,RR FZCO,,,Full time,,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/level-3-iphone-technician-71256,05 Aug 2024 -,4000 - 6000 UAE Dirhams(Monthly),"Mobile Repair, Mobile Repair Technician, Mobile Repairing, Mobile Testing"
Business and Management,,Sales & Business Development Manager,"Job Summary:
We are seeking a dynamic and results-driven Sales Executive/Business Development professional to join our team. The successful candida...",Dubai,GR,,,Contract,,,Mid-Level,,4+ Years,https://www.gulfjobs.com/job/sales-business-development-manager-71101,30 Jul 2024 -,4000 - 5000 UAE Dirhams(Monthly),"B2B Sales, Business Development"
"Communications, Marketing, and Sales",,Telesales Executive,"Job Description: We are seeking a motivated and enthusiastic Telesales Representative to join our dynamic sales team. In this role, you will be res...",Dubai,LED House,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/telesales-executive-71090,30 Jul 2024 -,2000 - 2200 UAE Dirhams(Monthly),"Administration, Business Communication Skills, Technical Sales, Telesales"
"Advertising, Media Journalism and Public Relations",,Studio Photo Designer,"Must need photo studio experience 
Its Temperoray vacancy for 1 month
Salary 3000 dhs
Job Role: Passport photoshoot&editing other studio works
Cand...",Dubai,Cell Studio,,,Contract,Secondary School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/studio-photo-designer-72969,15 Sep 2024 -,3000 - 3100 UAE Dirhams(Monthly),Photo Editing
"Advertising, Media Journalism and Public Relations",,Studio Photo Designer,"Must need photo studio experience 
Its Temperoray vacancy for 1 month
Salary 3000 dhs
Job Role: Passport photoshoot&editing other studio works

Pre...",Dubai,Cell Studio,,,Contract,Secondary School,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/studio-photo-designer-72968,15 Sep 2024 -,3000 - 3100 UAE Dirhams(Monthly),Photo Editing
"Advertising, Media Journalism and Public Relations",,Social Media Expert,"Join Our Team at EarthLink News Channel!
Are you passionate about journalism and storytelling? Do you thrive in a fast-paced environment where ever...",Dubai,EarthLinkews,,,Contract,,,Entry,,1+ Years,https://www.gulfjobs.com/job/social-media-expert-69015,14 May 2024 -,5000 - 9000 UAE Dirhams(Monthly),"Newsletters, Office Administration"
"Consultancy, Training and Education",,Translator Arabic To English,"We Are Hiring !!
Position: Translator (English To Arabic) 
Exp: Min 3+ Years
Location: UAE 



>Must have UAE Visa.



Contact Shweta- ***
***...",Abu Dhabi,Optima Placement,,,Contract,,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/translator-arabic-to-english-62940,27 Dec 2023 -,6000 - 7000 UAE Dirhams(Monthly),"Editing, Translation"
Health and Wellness,,Videographer,We are seeking an individual with a minimum of 2 years of expertise in Adobe Premiere/Wondershare Filmora 12 and Adobe Photoshop. The ideal candida...,Sharjah,Muhammad Faisal Ameer,,,Contract,No Education,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/videographer-61210,23 Nov 2023 -,1000 - 5000 UAE Dirhams(Monthly),"Video Editing, Voice Overs"
"Communications, Marketing, and Sales",,Digital Sales Executive,"We are currently looking for fresh graduates willing to work in a Digital Sales role, where we offer standard salary and commission.",Sharjah,Dar AlKhaleej,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/digital-sales-executive-58954,12 Oct 2023 -,4000 -  UAE Dirhams(Monthly),"Client Acquisition, Client Management, Digital Media, Digital Sales, Social Media Marketing"
Engineering and Technology,,Remote Developer (Python | Azure SQL | Power BI),"You will be the developer responsible for internal data systems and dashboards that involve Power BI, Python and Azure SQL.

FULL-TIME
This is a fu...",Doha,Arabic Media Website,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/remote-developer-python-azure-sql-power-bi-55314,29 Aug 2023 -,1000 -  Dollars(Monthly),"Power BI, Python, SQL Azure"
Engineering and Technology,,Remote Overseas Developer (Power BI | Python | Azure SQL),"You will be the developer responsible for internal data systems and dashboards that involve Power BI, Python and Azure SQL. 

FULL-TIME
This is a f...",Doha,Arabic Media Website,,,Full time,Bachelors,,Entry,,1+ Years,https://www.gulfjobs.com/job/remote-overseas-developer-power-bi-python-azure-sql-55167,28 Aug 2023 -,1000 -  Dollars(Monthly),"Power BI, Python, SQL Azure"
"Communications, Marketing, and Sales",,Sales Executive,"Job description
•We are a digital marketing Company looking for a experienced sales executive who can speak excellent English preferably and Arabic...",Dubai,businesslink,,,Full time,Bachelors,,Junior Level,,3+ Years,https://www.gulfjobs.com/job/sales-executive-44931,30 May 2023 -,4000 - 4000 UAE Dirhams(Monthly),"Digital Advertising, Digital Marketing, Digital Media, online digital marketing"
"Hospitality, Tourism, and Customer Service",,Live Chat Jobs,"- You have to try this one

 No experience or qualifications are necessary!
 More people are working from home than ever before!
 Part-time/Full-ti...",Doha,Social sell rep,,,Contract,Intermediate School,,Student,,Fresh,https://www.gulfjobs.com/job/live-chat-jobs-43215,11 May 2023 -,3500 - 4500 Qatar Rials(Weekly),Academic Content Writing
Business and Management,,Business Development Executive,"This is a full-time on-site role for a Business Development Executive located in Dubai, United Arab Emirates. The Business Development Executive wi...",Dubai,Innovative OHS Training and consultancy,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/business-development-executive-73114,18 Sep 2024 -,2500 -  UAE Dirhams(Monthly),"Business Communication Skills, Educational Marketing"
"Accounting, Finance, and Insurance",,Accounting Assistant,"Position Overview:
The Accounting Assistant will support the accounting department by performing various clerical and administrative tasks. This ro...",Abu Dhabi,Global Vision,,,Full time,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/accounting-assistant-73013,16 Sep 2024 -,3000 - 4000 UAE Dirhams(Monthly),"Accounting, Accounting & Finance, Accounting Software"
"Quality Assurance, Safety, and Compliance",,food and safety trainer,Develop training materials and train clients on food safety principles and practices. Conduct risk assessments and develop mitigation plans for pot...,Abu Dhabi,MOHAMMED SIRAJ,,,Contract,Bachelors,,Junior Level,,2+ Years,https://www.gulfjobs.com/job/food-and-safety-trainer-72971,15 Sep 2024 -,1500 - 3000 UAE Dirhams(Monthly),Teaching
