Title,Company,Location,Job Type,Posted Time,Salary,Job Link,Qualifications,Responsibilities,Experience,Work From,Description
Remote Associate Inside Sales Agent (Licensed) - National General,National General,Remote:,Full time,Today,28 - 100K,https://jobgether.com/offer/66f38d07d100f20fd7ae22b2-remote-associate-inside-sales-agent-licensed---national-general,"Qualifications: Property Casualty License required, High School Diploma or GED, Ability to be appointed by multiple carriers, Strong knowledge of auto policies, Proficiency with sales systems.",Provide quotes and sell insurance policies Provide outstanding client service   ,Entry-level / graduate,Full Remote,"National General is a part of The Allstate Corporation, which means we have the same innovative drive that keeps us a step ahead of our customers’ evolving needs. We offer home, auto and accident and health insurance, as well as other specialty niche insurance products, through a large network of independent insurance agents, as well as directly to consumers.

Job Description

This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.

National General Insurance is an Allstate Business

Want to grow your sales career with one of the fastest growing insurers in the country!? Start a new career in a performance-driven environment where you’re recognized and rewarded for your results?















This great opportunity uses cutting-edge technology to provide quotes and sell policies across multiple insurance lines and carriers. In addition, this role is responsible for providing outstanding client service and creating a positive relationship between the company and its prospective clients. Our Insurance Sales Agents are responsible for using various systems to track, gather information and answer customer inquiries as well as identify customer needs and meet those needs using our sales tools and techniques. We work collaboratively to support the team’s energy, morale, and production! Key performance indicators include metrics such as sales, productivity and quality requirements. Develop expertise in property and casualty insurance across all product lines, including ancillary policies. Agent careers at National General follow career paths that include multiple levels including Senior Agent, Executive Agent, and President’s Circle Agent - each offering increases in base pay and higher multipliers that add to incentive pay.



Compensation offered for this role is $15 - 16 per hour and is based on experience and qualifications.

At National General, great things happen when our people work together. That’s why when you join our team, we make sure it isn’t just a job — it’s an opportunity. One that takes your skills and pushes them to the next level. One that encourages you to challenge the status quo. And one where you can impact the future for the greater good.

You’ll do all this in a flexible environment that embraces connection and belonging. And with the recognition of several inclusivity and diversity awards, we’ve proven that Allstate empowers everyone to lead, drive change and give back where they work and live.



National General Holdings Corp., a member of the Allstate family of companies, is headquartered in New York City. National General traces its roots to 1939, has a financial strength rating of A– (excellent) from A.M. Best, and provides personal and commercial automobile, homeowners, umbrella, recreational vehicle, motorcycle, supplemental health, and other niche insurance products. We are a specialty personal lines insurance holding company. Through our subsidiaries, we provide a variety of insurance products, including personal and commercial automobile, homeowners, umbrella, recreational vehicle, supplemental health, lender-placed and other niche insurance products.



Direct General Auto & Life, Personal Express Insurance, Century-National Insurance, ABC Insurance Agencies, NatGen Preferred, NatGen Premier, Seattle Specialty, National General Lender Services, ARS, RAC Insurance Partners, Mountain Valley Indemnity, New Jersey Skylands, Adirondack Insurance Exchange, VelaPoint, Quotit, HealthCompare, AHCP, NHIC, Healthcare Solutions Team, North Star Marketing, Euro Accident.



National General Holdings Corp. is an Equal Opportunity (EO) employer – Veterans/Disabled and other protected categories. All qualified applicants will receive consideration for employment regardless of any characteristic protected by law. Candidates must possess authorization to work in the United States, as it is not our practice to sponsor individuals for work visas. In the event you need assistance or accommodation in completing your online application, please contact NGIC main office by phone at (336) 435-2000."
Higher Education Senior Director of Sales (New Logo),Niche,Remote:,Full time,Today,175 - 350K,https://jobgether.com/offer/66f38c6ad100f20fd7adf87c-higher-education-senior-director-of-sales-new-logo,"Qualifications: Significant experience in B2B SaaS or Ed-Tech, 5+ years of sales leadership experience, Strong communication and interpersonal skills, Analytical, data-driven with growth mindset, Experience driving outbound prospecting.",Lead team of Higher Education Account Executives    ,Senior (5-10 years),Full Remote,"About Niche
Niche is the leader in school search. Our mission is to make researching and enrolling in schools easy, transparent, and free. With in-depth profiles on every school and college in America, 140 million reviews and ratings, and powerful search tools, we help millions of people find the right school for them. We also help thousands of schools recruit more best-fit students, by highlighting what makes them great and making it easier to visit and apply.
Niche is all about finding where you belong, and that mission inspires how we operate every day. We want Niche to be a place where people truly enjoy working and can thrive professionally.
  About The Role
We are looking for a Senior Director of the Higher Education new business team whose passion for hitting revenue numbers and KPIs runs as deep as their desire for and development of people. This leader will be responsible for driving new business growth for the higher education vertical. This candidate will hire, develop, and coach the higher education account executives (new business) team.
  Responsibilities
Report into the EVP of Sales, and lead a team of Higher Education Account Executives"
Regional Sales Specialist - Injectors,GE Healthcare,Remote:,Full time,Today,94 - 141K,https://jobgether.com/offer/66f38c73d100f20fd7adfac6-regional-sales-specialist---injectors,"Qualifications: 5 years of consultative sales experience, Basic proficiency in Microsoft Office Suite, Must live in West US region, Valid motor vehicle license required, Willingness to travel at least 50%.",Generate proposals and prepare sales quotations Develop relationships and increase market awareness   ,Senior (5-10 years),Full Remote,"Job Description Summary

This GE Healthcare rapidly growing team has a need for a new Regional Sales Specialist for the West US. The Regional Sales Specialist is responsible for leading initiatives and executing activities to meet orders and revenue targets. This critical role is responsible for developing customer relationships and increasing awareness of our key, growing contrast media delivery systems market.

Our Pharmaceutical Diagnostics (PDx) business is the number one global supplier of contrast media and molecular imaging agents used to enhance medical imaging exams. Used throughout all major disease area diagnostic and treatment pathways, PDx products support three patients every second around the world.

Job Description

Roles and Responsibilities:

Generating proposals, preparing sales quotations, planning customer meetings, and demonstrating equipment capabilities of Contrast Media Delivery System products in assigned territory. Create awareness in radiology and contrast enhanced imaging modalities through the development of key customer relationships, programs and events.
Develop and execute business strategies to penetrate the market and successfully sell against competition
Maintain satisfactory after-sale relationships, penetrating competitive accounts and communicating current market intelligence back to the business, along with field concerns, issues and requirements






We expect all employees to live and breathe our behaviors: to act with humility and build trust; lead with transparency; deliver with focus, and drive ownership –always with unyielding integrity.

Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.

Legal authorization to work in the U.S. is required. We will not sponsor individuals for employment visas, now or in the future, for this job opening.

For U.S. based positions only, the pay range for this position is $94,240.00-$141,360.00 Annual. It is not typical for an individual to be hired at or near the top of the pay range and compensation decisions are dependent on the facts and circumstances of each case. The specific compensation offered to a candidate may be influenced by a variety of factors including skills, qualifications, experience and location. In addition, this position may also be eligible to earn performance based incentive compensation, which may include cash bonus(es) and/or long term incentives (LTI). GE HealthCare offers a competitive benefits package, including not but limited to medical, dental, vision, paid time off, a 401(k) plan with employee and company contribution opportunities, life, disability, and accident insurance, and tuition reimbursement.



GE HealthCare offers a great work environment, professional development, challenging careers, and competitive compensation. GE HealthCare is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.

GE HealthCare will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).

While GE HealthCare does not currently require U.S. employees to be vaccinated against COVID-19, some GE HealthCare customers have vaccination mandates that may apply to certain GE HealthCare employees.

No"
"Outbound Sales Development Representative, CEE - CM",Remote,Remote:,Full time,5 day ago,21 - 48K,https://jobgether.com/offer/66ef2685c2a1f7c278624f33-outbound-sales-development-representative-cee---cm,"Qualifications: Proven business development success, Experience as an SDR in B2B SaaS, Exceptional communication skills, Fluent in English, Self-motivated with a strong work ethic.",Engage and qualify outbound leads Source new sales prospects   ,Mid-level (2-5 years),Full Remote,"About Remote
Remote is solving global remote organizations’ biggest challenge: employing anyone anywhere compliantly. We make it possible for businesses big and small to employ a global team by handling global payroll, benefits, taxes, and compliance. Check out remote.com/how-it-works to learn more or if you’re interested in adding to the mission, scroll down to apply now.
Please take a look at remote.com/handbook to learn more about our culture and what it is like to work here. Not only do we encourage folks from all ethnic groups, genders, sexuality, age and abilities to apply, but we prioritize a sense of belonging. You can check out independent reviews by other candidates on Glassdoor or look up the results of our candidate surveys to see how others feel about working and interviewing here.
All of our positions are fully remote. You do not have to relocate to join us!
What this job can offer you
This is an exciting time to join Remote and make a personal difference in the global employment space as a Outbound Sales Development Representative, Central Eastern Europe (CEE), joining our Sales team.
What you bring
Proven business development success through effective use of core sales tools (Knowledge of Hubspot, LinkedIn Sales Navigator, Chorus is a plus)
Experience working as an SDR in a B2B SaaS Tech company
Able to negotiate skillfully, promote/sell ideas persuasively
Exceptional communication skills, both oral and written, coupled with excellent listening skills and a positive and energetic phone presence"
Sales Development Representative - Remote in Europe,Crox - Connecting Careers,Remote:,Full time,5 day ago,40 - 60K,https://jobgether.com/offer/66ed9cbe5bc6888deb76516e-sales-development-representative---remote-in-europe,,,,,
Outside Sales Representative,Groundworks,Remote:,Full time,Today,28 - 300K,https://jobgether.com/offer/66f38cbfd100f20fd7ae0fc2-outside-sales-representative,"Qualifications: 1-2 years of sales experience preferred, Experience in commission-driven sales is a plus, Experience in Construction or Home Improvement is a plus.",Travel to conduct in-home inspections Utilize warm leads to develop business Diagnose homeowner issues and provide solution options  ,Junior (1-2 years),Full Remote,"AquaGuard Foundation Solutions, A Groundworks Company, is seeking talented Outside Sales Representatives to join their team in the Marietta, GA area!
Our Outside Sales Representatives we call Certified Field Inspectors or CFI’s, are one of the powerhouses of our organization and integral to our business’ success. CFI's partner with homeowners to diagnose issues and recommend solutions through our foundation repair and water management services.
Why You Should Join Our Sales Team
Industry leading commission program with NO CAP on earnings!
Average annual earnings $200,000-$300,000
Pre-qualified, high-quality sales leads, no cold-calling required!
Higher commission on self-generated leads
The best-in-class training programs and technology
Advanced leadership opportunities from a promote from within led culture
Company vehicle and gas card allowance eligibility
Equity in the Nation's Leading and Fastest Growing Foundation Repair and Water Management Company
Benefits include Medical, Dental, Vision, Long/Short Term Disability, Life insurance, 401(k) with a company match
Job Responsibilities
Travel within sales territory to conduct in-home inspections
Utilize warm pre-qualified leads to develop and maintain a book of business"
"Senior Oncology Account Specialist BC Minneapolis N, MN",Pfizer,Remote:,Full time,Today,96 - 217K,https://jobgether.com/offer/66f38cafd100f20fd7ae0b76-senior-oncology-account-specialist-bc-minneapolis-n-mn,"Qualifications: BA/BS Degree from an accredited institution, 4+ years of Pharmaceutical Sales or Oncology HCP experience, Exceptional learning aptitude and communication skills, Proficiency in complex digital applications, Valid US driver's license.",Promote Pfizer’s product portfolio to healthcare providers    ,Mid-level (2-5 years),Full Remote,"ROLE SUMMARY 
Everything we do, every day, is in line with an unwavering commitment to the quality and the delivery of safe and effective products to patients. Our science and risk-based compliant quality culture is innovative and customer oriented. Whether you are involved in manufacturing, testing, or compliance, your contribution will directly impact patients. 
 The Senior Oncology Account Specialist (SOAS) will have a variety of responsibilities, ranging from promoting Pfizer’s product portfolio to health care providers and specialists, to educating members of the healthcare community regarding the appropriate use of Pfizer products, to calling on accounts and organized customers to help improve patients’ experience with Pfizer products, as well as the overall quality of patient care delivered.  
 
The SOAS plays a critical role in increasing Pfizer’s brand with high-value target customers by linking an insightful assessment of the account and/or business landscape with a strong understanding of Pfizer’s products and resources.  
 BASIC QUALIFICATIONS 
BA/BS Degree from an accredited institution  
Ability to travel domestically and stay overnight as necessary  
Sales
#LI-Remote #LI-PFE"
"Strategic Account Manager, Service Providers",Palo Alto Networks,Remote:,Full time,Today,255 - 351K,https://jobgether.com/offer/66f38ca8d100f20fd7ae09a9-strategic-account-manager-service-providers,"Qualifications: Experience in SaaS-based architectures, Demonstrated experience in complex solutions sales, Technical aptitude for technology products, Knowledge of full sales cycle, Strong time management skills.",Own revenue expansion with largest clients Drive complex sales cycles and collaborations   ,Mid-level (2-5 years),Full Remote,"Company Description
Our Mission
At Palo Alto Networks® everything starts and ends with our mission:
Being the cybersecurity partner of choice, protecting our digital way of life.
Our vision is a world where each day is safer and more secure than the one before. We are a company built on the foundation of challenging and disrupting the way things are done, and we’re looking for innovators who are as committed to shaping the future of cybersecurity as we are.
Who We Are
We take our mission of protecting the digital way of life seriously. We are relentless in protecting our customers and we believe that the unique ideas of every member of our team contributes to our collective success. Our values were crowdsourced by employees and are brought to life through each of us everyday - from disruptive innovation and collaboration, to execution. From showing up for each other with integrity to creating an environment where we all feel included.
As a member of our team, you will be shaping the future of cybersecurity. We work fast, value ongoing learning, and we respect each employee as a unique individual. Knowing we all have different needs, our development and personal wellbeing programs are designed to give you choice in how you are supported. This includes our FLEXBenefits wellbeing spending account with over 1,000 eligible items selected by employees, our mental and financial health resources, and our personalized learning opportunities - just to name a few!"
European Sales Director and Key Accounts Manager,Delta Galil Industries,Remote:,Full time,Today,1 - 3K,https://jobgether.com/offer/66f38b3ed100f20fd7adaebb-european-sales-director-and-key-accounts-manager,"Qualifications: Sales experience in socks and underwear, Experience in Western European markets, Proven track record in key account management, Strong leadership and strategic planning skills, Bachelor's degree in Business Administration or related field.",Lead sales operations and manage key accounts    ,Expert & Leadership (>10 years),Full Remote,"Description
Company Description
Established in 1975, Delta Galil Industries is a global manufacturer and marketer of Private Label apparel products for men, women, and children. The company owns leading apparel and fashion brands such as 7 For All Mankind, Schiesser, and Eminence. Delta Galil is also the licensee of many brands including Wilson Socks, Columbia Socks and Underwear, Elle Intimates etc
Delta Galil places equal emphasis on comfort, aesthetics, and quality with a focus on anticipating fashion trends and developing cutting-edge technologies and fabrics in-house.

Role Description
This is a full-time remote role for a Sales Director and Key Accounts Manager at Delta Galil Industries. The role involves leading sales operations, managing key customer accounts, overseeing the sales team, and driving business development strategies.

Requirements
Sales, Business Development, and Sales Operations skills
Sales experience in selling socks and underwear in Western Europe across all relevant distribution channels: sporting goods chains. outdoor chains, supermarket chains , department stores etc"
Business Development Representative,Griffin Consultants LLC,Remote:,Freelance,5 day ago,0 - 96K,https://jobgether.com/offer/66ef2683c2a1f7c278624ec7-business-development-representative,"Qualifications: Proven experience in business development or sales, preferably in staffing., Strong understanding of staffing industry and recruitment processes., Excellent communication and interpersonal skills., Ability to build rapport and trust with clients., Strong negotiation and persuasion skills..",Prospect for new clients through various channels.    ,Mid-level (2-5 years),Full Remote,"Job Description: Business Development Staffing Representative (BDSR) (1099 Contractor with Residuals)
Ready to ‘be different’ amongst a crowded staffing industry? Want to have confidence in knowing you have solutions that are unique to clients, and where you will have a true competitive advantage? If Yes, let’s connect!
Job Summary
As a BDSR, you will play a pivotal role in identifying, attracting, and securing new business opportunities for Griffin Consultants LLC. You will actively engage with potential clients to understand their staffing needs and provide tailored solutions.
Key Responsibilities
·       Business Development: Prospect for new clients through various channels, including networking, cold calling, and email campaigns.
·       Client Relationship Management: Build and maintain strong relationships with clients, understanding their business objectives and staffing requirements.
·       Needs Assessment: Conduct in-depth needs assessments to identify specific staffing needs and challenges.
·       Solution Development: Develop customized staffing solutions that align with clients' goals and budget constraints.
·       Proposal Creation: Prepare compelling proposals outlining the benefits of partnering with Griffin Consultants LLC."
"Clinical Sales Specialist, Structural Heart, TAVI",Abbott,Remote:,Full time,1 day ago,72 - 145K,https://jobgether.com/offer/66f2e2e090614097a639dcb8-clinical-sales-specialist-structural-heart-tavi,"Qualifications: Bachelor of Science or Arts degree, 9+ years clinical experience required, 5+ years in Structural Heart specifically, Equivalent clinical qualifications acceptable, Verification of vendor credentialing requirements.",Provide TAVI trial and case support Educate healthcare professionals on TAVI products   ,Senior (5-10 years),Full Remote,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 114,000 colleagues serve people in more than 160 countries.
     JOB DESCRIPTION:
Working at Abbott
At Abbott, you can do work that matters, grow, and learn, care for yourself and family, be your true self and live a full life. You’ll also have access to:
Career development with an international company where you can grow the career you dream of.
Free medical coverage for employees* via the Health Investment Plan (HIP) PPO.
An excellent retirement savings plan with high employer contribution.
Tuition reimbursement, the Freedom 2 Save student debt program and FreeU education benefit - an affordable and convenient path to getting a bachelor’s degree.
A company recognized as a great place to work in dozens of countries around the world and named one of the most admired companies in the world by Fortune.
A company that is recognized as one of the best big companies to work for as well as a best place to work for diversity, working mothers, female executives, and scientists.
The Opportunity

$72,700.00 – $145,300.00
Sales Support & Administration
SH Structural Heart
United States of America : Remote
Standard
Yes, 50 % of the Time
Yes
Continuous sitting for prolonged periods (more than 2 consecutive hours in an 8 hour day), Continuous standing for prolonged periods (more than 2 consecutive hours in an 8 hour day), Driving a personal auto or company car or truck, or a powered piece of material handling equipment
Abbott is an Equal Opportunity Employer of Minorities/Women/Individuals with Disabilities/Protected Veterans.
EEO is the Law link - English: http://webstorage.abbott.com/common/External/EEO_English.pdf
EEO is the Law link - Espanol: http://webstorage.abbott.com/common/External/EEO_Spanish.pdf"
Creator Sales Manager (Japan) - Nas.io,Nas Company,Remote:,Full time,1 day ago,1 - 192K,https://jobgether.com/offer/66f2aa8a90614097a63753be-creator-sales-manager-japan---nas.io,"Qualifications: 3-5 years experience in sales roles, Fluent in Japanese, advanced English, Experience in fast-paced startups, Understanding of Japan Creator Landscape, Basic design skills and Excel proficiency.",Manage the entire sales cycle Negotiate with high profile creators   ,Mid-level (2-5 years),Full Remote,"Location: Japan
  Nas Company is an ecosystem of products that help people feel more connected.
Both online and offline. In the millions. We are a team of 100 people from 28 countries who are market leaders in the creator economy, reaching 300 million people globally every month.
  Nas Company has 5 main products:
Technology: Nas.io
Education: Nas Academy
Media: Nas Daily (65 Million followers!)
Events: Nas Summit
Hotels: Nas House
  Following our global success with Nas.io, we are looking for a Creator Sales Manager in Japan, to support our expansion into Japan, to hunt, sell to and onboard content creators to generate revenue on Nas.io.
  This person is a focused, hands on and execution driven sales associate with a proven track record in achieving individual onboarding targets. The person should possess exceptional communication and relationship building skills, willing to be hands on and execute across the board. The role will have direct exposure to creators and report directly to the COO of Nas.io"
Enterprise Account Executive,Sirius Personnel,Remote:,Full time,7 day ago,80 - 100K,https://jobgether.com/offer/66ec132a5bc6888deb6d4dc8-enterprise-account-executive,"Qualifications: Experience selling to enterprise clients, Knowledge of IT and telecom sector, 5+ years in sales roles, College degree or equivalent experience, Reside in GTA area.",Develop Ontario market from GTA Build new customer business opportunities Upsell/cross-sell existing client accounts  ,Mid-level (2-5 years),Full Remote,"Sirius Personnel is a Placement and Headhunting Agency that Specializes in Sales and Marketing Professionals in Canada. (www.siriuspersonnel.com)

Profile: Our client is a clean tech company specialized in the circular economy and is looking for an Enterprise Account Executive who will be responsible for developing the Ontario market from the GTA. Your role will be to build new customer business and upsell and crossell a small existing book of business. You will be selling to enterprise-sized clients and government clients to help them recycle and manage their electronic devices, using technology. To be considered for this role, you must reside in the GTA and have experience selling to enterprise clients (> 1000 employees) and in a technology capacity.

Territory: Ontario

Workplace: Work from home (based in GTA)

Products/Services: Clean tech industry

Salary: Base $80,000-$100,000

Commissions/Bonus: $80,000-$100,000 in commissions + uncapped

Car allowance: $/km

: All reasonable expenses reimbursed











Development vs Maintenance: 70% vs 30%

Road vs Office: 50% vs 50%

Languages: Excellent written and spoken English

Education: College degree or equivalent experience

Training: On the job training which includes 1 week in Montreal

Overnight Travel: Less than 10% but can include some western Canada

Years of experience: 5 to years selling to enterprise accounts





: N/A"
Talent Attraction Analytics und Channel Management,IU International University of Applied Sciences,Remote:,Full time,7 day ago,57 - 57K,https://jobgether.com/offer/66ec13015bc6888deb6d44d1-talent-attraction-analytics-und-channel-management,"Qualifications: Degree in BWL, Wirtschaftspsychologie or related fields, At least 2 years experience in strategic recruiting, Proficient in MS Office and XML feeds, Strong analytical skills, Fluent in German and English.",Responsible for lead generation in HR-recruiting Build a performance management dashboard for channels   ,Mid-level (2-5 years),Full Remote,"Talent Attraction Analytics und Channel Management (m/w/d)

Wachse mit uns – starte Deine Karriere bei der IU!

Verstärke die IU Internationale Hochschule im Team Talent Attraction in Vollzeit deutschlandweit remote als Talent Attraction Analytics > Channel Management Specialist ab sofort/dem nächstmöglichen Zeitpunkt.

Deine Aufgaben

Du verantwortest die Lead Generierung im Bereich HR-Recruiting und stellst damit einen quantitativ und qualitativ hohen Bewerbungseingang sicher.
Du ermöglichst eine effiziente Nutzung von einzelnen Kanälen auf Zielgruppenebene durch den Aufbau eines Performance Management Dashboard.
Du identifizierst Trends und aktuelle Themen rund um das Thema Employer Branding und Personalmarketing mit dem Schwerpunkt auf neuen (zielgruppenspezifischen) Portalen zur Bewerbergenerierung.
Du stellst durch Dein Schnittstellenmanagement einen reibungslosen Ablauf unserer Recruiting-Prozesse sicher - dies betrifft das Bewerbermanagement (Workday), den Multiposter, die Stellenbörse und die Karriereseite.
Du stehst im engen Austausch mit unserem Performance-Marketing-Team, um die Conversion unseres Bewerbungsprozesses stetig zu optimieren und bist interne:r Ansprechparter:in unserer operativen Recruiting-Teams.

Dein Profil



Was wir bieten



Das klingt nach dem perfekten Job für Dich? Einfach, unkompliziert und ohne Anschreiben.

Wir nehmen unsere “Culture Of Everyone” sehr ernst und möchten an dieser Stelle nochmal ausdrücklich darauf hinweisen, dass Du herzlich bei uns willkommen bist, ganz unabhängig davon welche Herkunft, Religion, Geschlecht, Alter oder sexuelle Orientierung Du mitbringst. Auch mit Beeinträchtigung stehen Dir unsere Türen weit offen. Wir freuen uns auf ein vielfältiges Miteinander hier an der IU!"
Sales Executive (Hospitality),Beat (Freenow),Remote:,Fixed term,1 day ago,30 - 30K,https://jobgether.com/offer/66f2aaaa90614097a6375c74-sales-executive-hospitality,"Qualifications: 2+ years of sales experience, Fluent in German, B2 English level, Proven track record of meeting sales goals, Knowledge of data-driven decision making.",Acquire new partners and manage existing portfolios. Engage in outreach strategies to improve conversion rates. Simplify workflows during onboarding processes. ,Mid-level (2-5 years),Full Remote,"FREENOW for Business ist die Mobility Super App (im B2C) und für Unternehmen. Bereits über 30.000 Partner in ganz Europa nutzen unsere individuellen Software-Lösungen im Alltag:
FREENOW für Kunden- &Gästereisen: Unternehmen (vorwiegend Hotels) können mit unserem Client Travel-Produkt den Transport für ihre Gäste in wenigen Sekunden buchen. Zu den wichtigsten Branchen zählen: Hotellerie & Gastronomie, Autovermietung und das Gesundheitswesen.
Durch das stetige Wachstum suchen wir engagierte Talente, die Grenzen neu verschieben und Erfolg neu definieren wollen. 
DEINE KERNAUFGABEN SIND:
Unser Vertriebsteam ist unser Motor, der durch sein Engagement neue Partner gewinnt und unsere Expansion ständig vorantreibt.
Unsere Sales Manager begleiten die Partner von der Akquise bis zum After Sales. Dabei erobern sie durch die enge Zusammenarbeit mit z.B. dem Marketing & Strategic Partnership Team neue Marktanteile und steigern mit ihrem Know-How unsere Kundenbasis Raketen schnell. 🚀
Wir sind auf der Suche nach einem Vertriebsleiter (Festzeit), der sich unserem Team für Client-Travel in Deutschland anschließt und unsere gemeinsamen Ziele für neue und bestehende Partner erreicht oder sogar übertrifft 🚀Ihre tägliche Routine umfasst u.a. die zielorientierte Suche nach Partnern, bei der Sie die Conversion Rate mit Ihren Outreach-Strategien abheben lassen. (Die dafür notwendige Sales Engagement Platform bekommen Sie von uns)"
Market Sales Manager,NBCUniversal,Remote:,Full time,1 day ago,"Remote: 
France",https://jobgether.com/offer/66f2aab190614097a6375e7a-market-sales-manager,"Qualifications: 5+ years in sales/account management, Experience in SaaS industry, Understanding of golf practices, Proficient in Salesforce or CRM, Fluent in English.",Manage and acquire key clients. Develop sales strategy for growth. Maintain solid relationships with partners.  ,Senior (5-10 years),Full Remote,"Description de l'entreprise
Digital Golf Solutions (DGS), une filiale de NBC SportsNext, assure la distribution exclusive du logiciel de gestion Albatros pour les golfs ainsi que du site de distribution de greenfees en ligne GolfNow, qui permet aux golfeurs de réserver des parcours à travers l'Europe. GolfNow est la plus grande « market place » de greenfees au monde, utilisée par plus de 3,5 millions de golfeurs à travers le globe.
En Europe, notre technologie, nos services et notre plateforme de distribution aident plus de 2 000 golfs, principalement au Royaume-Uni, en Irlande, en Allemagne et en France, à gérer leurs opérations quotidiennes et à maximiser leurs revenus. L'entreprise se développe en Europe et recherche une personne ambitieuse et motivée pour participer à la croissance de la société.
Nous sommes fiers d'offrir une expérience d'équipe exceptionnelle avec un package généreux conçu pour assurer une sécurité financière, soutenir le bien-être et améliorer l'équilibre entre vie professionnelle et vie privée. Il s'agit d'un poste entièrement à distance, idéalement basé dans le sud de la France, avec des déplacements nécessaires dans d'autres marchés en Europe.
C'est une excellente opportunité de faire partie d'une entreprise mondiale opérant dans les secteurs du sport et de la technologie, avec des plans de croissance significatifs.
Description du poste
Présentation du poste
Au sein de l'équipe commerciale européenne, ce poste sera responsable des ventes de nos produits technologiques dans les régions définies, avec l'ambition d'étendre notre présence régionale. Le rôle impliquera la gestion de comptes clients clés et l'acquisition de nouveaux comptes. Post, idéalement basé dans ou à proximité du sud de la France, avec des déplacements nécessaires dans d'autres marchés en Europe."
"Retail Sales Associate, Full Time (Customer Operations)  - Plaza At Greenville",Gap Inc.,Remote:,Full time,3 day ago,57 - 57K,https://jobgether.com/offer/66f2aae490614097a6376bcf-retail-sales-associate-full-time-customer-operations---plaza-at-greenville,"Qualifications: Excellent communication skills, Ability to work flexible hours, Proficient in retail technology, Able to lift up to 30 lbs.",Provide excellent customer service Promote loyalty programs Engage customers to drive sales  ,Entry-level / graduate,Full Remote,"About the Role
As a Brand Associate, you’re an integral part of our team and bring our brand to life for our customers. You’re responsible for engaging and connecting with our customers by providing excellent customer service resulting in brand loyalty. You’re an expert in product and use your knowledge and experience to educate, inform, inspire and wardrobe the customer. Through collaboration with your leadership team, you’ll deliver a best-in-class customer experience using an omni-channel approach. .
What You'll Do
Consistently treat all customers and employees with respect and contribute to a positive work environment. 
 Promote loyalty by educating customers about our loyalty programs. 
 Seek out and engage with customers to drive sales and service using suggestive selling. 
 Enhance customer experience using all omnichannel offerings. 
 Be accountable to personal goals which contribute to overall store goals and results. 
 Support sales floor, fitting room, cash wrap, back of house, as required. 
 Maintain a neat, clean and organized work center. 
 Handle all customer interactions and potential issues/returns courteously and professionally.
Execute operational processes effectively and efficiently. 
Who You Are"
